playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8476914,2025,Joonas Korpisalo,BOS,G,5on5,1,484.0,0.27,0.0,5.0,0.24,0.0,0.73,0.0,3.61,2.0,0.21,0.0,2.01,4.0,1.64,1.0,0.27,4.0,1.0,0.0,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,4on5,1,195.0,1.04,0.0,4.0,0.14,0.0,0.28,2.0,2.07,3.0,0.09,0.0,0.99,0.0,0.47,1.0,0.94,0.0,0.0,3.0,0.0,0.0,1.04,0.0,0.0,0.0,1.0,0.0,0.0
8476914,2025,Joonas Korpisalo,BOS,G,5on4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,other,4,244.0,1.21,1.0,8.0,0.45,3.0,1.42,1.0,6.28,3.0,0.06,0.0,3.34,1.0,1.37,2.0,1.09,4.0,1.0,3.0,0.16,0.16,0.89,0.0,0.0,1.0,0.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,all,4,10221.0,8.64,8.0,157.0,6.88,11.0,22.01,14.0,90.87,73.0,3.07,0.0,49.6,51.0,33.77,40.0,8.13,91.0,22.0,11.0,2.9,2.39,3.35,4.0,2.0,2.0,33.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,5on5,4,8796.0,5.96,6.0,122.0,4.69,7.0,16.62,7.0,66.35,53.0,2.74,0.0,35.66,42.0,25.81,29.0,5.69,71.0,12.0,8.0,2.17,1.33,2.45,3.0,2.0,1.0,31.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,4on5,4,879.0,1.47,1.0,27.0,1.74,1.0,3.98,6.0,18.24,17.0,0.01,0.0,10.61,8.0,6.6,9.0,1.36,16.0,9.0,0.0,0.57,0.9,0.0,1.0,0.0,0.0,2.0,0.0,0.0
8478406,2025,Mackenzie Blackwood,COL,G,5on4,4,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,all,1,3428.0,2.73,4.0,50.0,1.82,2.0,5.78,3.0,24.95,22.0,1.24,0.0,14.1,12.0,8.8,13.0,2.57,21.0,10.0,3.0,0.75,1.17,0.81,2.0,2.0,0.0,16.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,5on5,1,2724.0,0.93,2.0,33.0,0.85,0.0,3.74,3.0,14.26,13.0,0.69,0.0,8.2,7.0,5.83,8.0,0.93,17.0,2.0,1.0,0.49,0.22,0.22,2.0,0.0,0.0,13.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,4on5,1,464.0,1.73,2.0,16.0,0.92,2.0,1.93,0.0,9.93,8.0,0.05,0.0,5.62,5.0,2.48,4.0,1.57,3.0,8.0,2.0,0.19,0.95,0.59,0.0,2.0,0.0,3.0,0.0,0.0
8479406,2025,Filip Gustavsson,MIN,G,5on4,1,240.0,0.07,0.0,1.0,0.05,0.0,0.1,0.0,0.77,1.0,0.49,0.0,0.28,0.0,0.48,1.0,0.07,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480843,2025,Lukas Dostal,ANA,G,other,12,866.0,0.91,1.0,13.0,0.28,0.0,0.79,2.0,3.87,4.0,0.15,0.0,2.1,1.0,0.79,1.0,0.87,1.0,3.0,1.0,0.04,0.36,0.52,0.0,0.0,1.0,8.0,0.0,0.0
8480843,2025,Lukas Dostal,ANA,G,all,12,37664.0,31.38,37.0,568.0,20.74,33.0,76.49,61.0,314.79,284.0,12.42,2.0,162.6,141.0,123.06,152.0,30.09,300.0,85.0,40.0,8.23,10.36,12.78,9.0,14.0,14.0,143.0,0.0,0.0
8480843,2025,Lukas Dostal,ANA,G,5on5,12,31289.0,21.51,26.0,471.0,15.65,22.0,65.06,50.0,256.42,231.0,10.19,1.0,133.18,118.0,103.81,132.0,20.82,261.0,61.0,26.0,6.84,7.54,7.13,7.0,12.0,7.0,123.0,0.0,0.0
8480843,2025,Lukas Dostal,ANA,G,4on5,12,2127.0,8.14,8.0,70.0,4.32,11.0,9.21,7.0,45.5,40.0,0.17,1.0,24.54,20.0,12.24,13.0,7.58,30.0,17.0,13.0,1.11,1.89,5.14,1.0,1.0,6.0,10.0,0.0,0.0
8480843,2025,Lukas Dostal,ANA,G,5on4,12,3382.0,0.82,2.0,14.0,0.49,0.0,1.42,2.0,9.0,9.0,1.92,0.0,2.79,2.0,6.22,6.0,0.82,8.0,4.0,0.0,0.24,0.58,0.0,1.0,1.0,0.0,2.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,other,10,865.0,1.53,0.0,26.0,1.05,0.0,3.57,2.0,16.73,14.0,0.18,0.0,9.82,10.0,5.44,10.0,1.43,16.0,5.0,1.0,0.76,0.55,0.21,0.0,0.0,0.0,4.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,all,10,27806.0,20.23,20.0,426.0,14.93,16.0,53.74,36.0,225.01,209.0,8.66,1.0,121.07,120.0,87.3,110.0,19.52,221.0,65.0,19.0,6.82,7.86,5.55,5.0,10.0,5.0,121.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,5on5,10,21340.0,13.07,13.0,308.0,10.11,14.0,40.8,29.0,159.67,144.0,6.3,1.0,85.46,87.0,63.02,74.0,12.71,167.0,39.0,12.0,5.22,4.81,3.04,4.0,8.0,1.0,90.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,4on5,10,2427.0,4.96,5.0,76.0,3.34,1.0,7.77,5.0,38.35,38.0,0.2,0.0,22.79,21.0,11.81,18.0,4.72,28.0,18.0,6.0,0.56,2.1,2.29,0.0,1.0,4.0,24.0,0.0,0.0
8479312,2025,Alex Lyon,BUF,G,5on4,10,3174.0,0.67,2.0,16.0,0.43,1.0,1.58,0.0,10.25,13.0,1.99,0.0,3.01,2.0,7.02,8.0,0.67,10.0,3.0,0.0,0.28,0.39,0.0,1.0,1.0,0.0,3.0,0.0,0.0
8475883,2025,Frederik Andersen,CAR,G,other,12,2555.0,2.34,3.0,50.0,1.64,3.0,5.27,6.0,22.64,25.0,0.91,1.0,13.4,11.0,8.37,9.0,2.24,20.0,10.0,2.0,0.52,1.3,0.52,0.0,3.0,0.0,18.0,0.0,0.0
8475883,2025,Frederik Andersen,CAR,G,all,12,47528.0,28.79,19.0,595.0,20.25,33.0,77.2,39.0,307.64,265.0,16.46,2.0,156.9,152.0,115.38,165.0,27.64,293.0,82.0,34.0,8.75,10.71,9.34,3.0,10.0,6.0,186.0,2.0,1.0
8475883,2025,Frederik Andersen,CAR,G,5on5,12,36203.0,22.01,13.0,478.0,15.52,27.0,63.3,27.0,244.97,202.0,12.51,1.0,123.84,122.0,92.13,136.0,21.06,239.0,60.0,26.0,7.02,7.92,7.06,3.0,6.0,4.0,153.0,2.0,1.0
8475883,2025,Frederik Andersen,CAR,G,4on5,12,4015.0,3.44,3.0,54.0,2.72,2.0,7.16,6.0,31.12,27.0,0.68,0.0,17.37,16.0,9.26,13.0,3.36,27.0,10.0,4.0,0.96,1.25,1.24,0.0,1.0,2.0,13.0,0.0,0.0
8475883,2025,Frederik Andersen,CAR,G,5on4,12,4755.0,1.0,0.0,13.0,0.38,1.0,1.46,0.0,8.92,11.0,2.36,0.0,2.28,3.0,5.62,7.0,0.97,7.0,2.0,2.0,0.25,0.24,0.51,0.0,0.0,0.0,2.0,0.0,0.0
8478024,2025,Ville Husso,ANA,G,other,2,333.0,0.27,0.0,5.0,0.2,0.0,0.55,0.0,2.93,1.0,0.02,0.0,1.4,0.0,1.47,4.0,0.27,3.0,1.0,0.0,0.1,0.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0
